id,source sentence,reference,translate_result,is error translated
90,"The funding made available represents 70 percent of the total amount required for the program(the Mozambican Government has supplied 30 percent) and is for concluding the rebuilding and widening of the country's main road, in the 2007-2009 period, beginning other stretches of road as well as building several bridges.",国际捐助占该计划所需资金总额的70%(莫桑比克政府已经提供了30%的资金)。资金将用于在2007-2009年间重建和拓宽该国的公路干线，并新建一些公路和桥梁。,莫桑比克马里兰大学圣塔芭芭拉分校的莫桑比克工程学院院长卡梅伦•莫桑比克说：“莫桑比克政府已提供了30%的资金，用于在2007年至2009年期间完成该国主要公路的重建和拓宽，开始修建其他路段以及建造几座桥梁。”,
91,He began to hold quarterly town hall meetings that end with a question and answer session for employees.,他开始举办季度员工大会，并专门在会议结束前设立了员工问答环节。,他开始每季度举行一次员工大会，会议结束时员工可以进行问答。,
92,A 51long DNA fragment has been isolated polymerase chain reaction from rice field eel genomic DNA using the primers for amplifying zinc finger repeats 7 to 1of mammalian and reptilian ZFX-related genes.,"依据哺乳类和爬行类动物锌指蛋白基因 (ZFX/Zfc)编码第 7～ 13个锌指结构的DNA序列保守性设计引物 ,在黄鳝基因组DNA中仅扩增到一条 12bp的DNA片段。",使用用于扩增哺乳动物和爬行动物 ZFX 相关基因的锌指重复序列 7 至 1 的引物，通过聚合酶链反应从稻田鳗鱼基因组 DNA 中分离出 51 长的 DNA 片段。,
93,(ii) is ordered to be detained in an addiction treatment centre under the Drug Addiction Treatment Centres Ordinance (Cap 244);,(ii) 根据《戒毒所条例》(第244章)被命令羁留於戒毒所;,(ii) 根据《戒毒所条例》（第 244 章）被命令羁留在戒毒所；,
94,"Article 4Where the registration authority fails to grant registration to an application which meets the conditions prescribed herein, or fails to issue any response after the legally prescribed time limit has expired, the party may apply for administrative review or bring an administrative suit.",第四十六条登记机关对符合法定条件的申请不予登记或者超过法定时限不予答复的，当事人可依法申请行政复议或提起行政诉讼。,第四条 登记机关对符合本办法规定条件的申请不予登记，或者逾期未答复的，当事人可以申请行政复议或者提起行政诉讼。,
95,"""individual member of the Centre"" (中心的个人会员) means a natural person who is a member of the Centre;",“中心的个人会员”(individual member of the Centre) 指属中心会员的自然人;,"""individual member of the Centre"" (中心的个人会员) means a natural person who is a member of the Centre;",
96,"Estimates show that the internal debt to gross domestic product(GDP) ratio will thus see a substantial decrease, to 23.4 percent of GDP in 2007, as compared with 27.5 percent in 2006.",预计数字显示，国内债务在GDP中占的比例将有实质上的降低，2007年将达到GDP的23.4%，而2006年这一比例为27.5%。,预计，2007年内债占GDP的比率将大幅下降，从2006年的27.5%降至23.4%。,
97,"The Sino-Japanese relations had roughly passed through three periods, naming Breakthrough Period (1972-1978), Honeymoon Period (1978-1989) and Adjusting Period (1989-1998), from 1972 when the Sino-Japanese diplomatic relations normalized to 1998, the 20 years' anniversary of the Sino-Japanese Peace and Amity Treaty's endorsement.",从中日邦交正常化实现的1972年到《中日和平友好条约》签订20周年的1998年，两国关系大致经历了三个发展时期：即攻坚期(1972-1978年)、蜜月期(1978-1989年)、调整期(1989-1998年)。,从1972年中日邦交正常化开始，到1998年中日和平友好条约缔结20周年，中日关系大致经历了突破期（1972—1978年）、蜜月期（1978—1989年）和调整期（1989—1998年）三个时期。,
98,"Aijia Real Estate Information Co., Ltd, Huludao",葫芦岛市爱家房地产资讯有限责任公司,"Aijia Real Estate Information Co., Ltd, Huludao",
99,Will the youngsters who did so well at the back end of last season just be destined for bit-part appearances as substitutions and in the Carling Cup?,在上个赛季后半程表现出色的小将们是否注定就是球队的板凳球员，或者也只能混混联赛杯？,上赛季末表现出色的年轻球员是否注定只能以替补球员身份和在联赛杯中出场呢？,
