序号,原句,术语,原句翻译,原句术语翻译,bert替换变异,替换术语,替换翻译,替换术语翻译,原句术语翻译,gpt建议,请问这组替换变异是否存在术语翻译一致的错误
33,Air China and Star Alliance signed a memorandum of understanding Monday to make the invitation for the Chinese company to join the alliance official.,memorandum of understanding,中国国际航空与星空联盟周一签署谅解备忘录，正式邀请中国公司加入星空联盟。,['谅解备忘录'],['Air China and Star Alliance signed a memorandum of agreement Monday to make the invitation for the Chinese company to join the alliance official.'],['memorandum of agreement'],['中国国际航空与星空联盟周一签署谅解备忘录，正式邀请中国公司加入星空联盟。'],['谅解备忘录'],['谅解备忘录'],"{'memorandum of agreement': 'NO\nDifferent translations: <memorandum of understanding: 谅解备忘录, memorandum of agreement: 协议备忘录>'}",
34,"Exposing ourselves to traditional Japanese aesthetic ideas — notions that may seem quite foreign to most of us — is a good exercise in lateral thinking, a term coined by Edward de Bono in 1967.",lateral thinking,接触传统的日本美学理念（对我们大多数人来说可能相当陌生）是锻炼横向思维的一个很好的方法，横向思维是爱德华·德·博诺 (Edward de Bono) 于 1967 年创造的一个术语。,['横向思维，横向'],"['Exposing ourselves to traditional Japanese aesthetic ideas — notions that may seem quite foreign to most of us — is a good exercise in lateral thought, a term coined by Edward de Bono in 1967.']",['lateral thought'],['接触传统的日本美学理念（对我们大多数人来说可能相当陌生）是锻炼横向思维的一个很好的方法，横向思维是爱德华·德·博诺 (Edward de Bono) 于 1967 年创造的一个术语。'],['横向思维，横向'],['横向思维，横向'],"{'lateral thought': 'NO\nDifferent translations: <lateral thinking: 横向思维, lateral thought: 横向思维>'}",
35,"And unto this people thou shalt say, Thus saith the LORD; Behold, I set before you the way of life, and the way of death.",way of life,你要对这百姓说，耶和华如此说。看哪，我将生命的道路和死亡的道路摆在你们面前。,['生命的道路'],"['And unto this people thou shalt say, Thus saith the LORD; Behold, I set before you the path of life, and the way of death.']",['path of life'],['你要对这百姓说，耶和华如此说。看哪，我将生命的道路和死亡的道路摆在你们面前。'],['生命的道路'],['生命的道路'],"{'path of life': 'NO\nDifferent translations: <way of life: 生命的道路, path of life: 生命的路径>'}",
36,"Soon after the September 18th Incident, a tidal wave for Constitution Movement rose in China.",tidal wave,九一八事变后不久，中国境内兴起了立宪运动的浪潮。,['浪潮'],"['Soon after the September 18th Incident, a tidal tide for Constitution Movement rose in China.']",['tidal tide'],['九一八事变后不久，中国境内兴起了立宪运动的浪潮。'],['浪潮'],['浪潮'],"{'tidal tide': 'NO\nDifferent translations: <tidal wave: 海啸, tidal tide: 潮汐>'}",
37,"The way to measure fuel ingredient contents by Gas Chromatography technology was determined, i. e. the contents of the sensitive fuel C was tested by means of calibration curve with ethyl acetate as solvent;",ethyl acetate,确定了用气相色谱技术测定燃料成分含量的方法，即以乙酸乙酯为溶剂，利用校准曲线测定敏感燃料C的含量；,['乙酸乙酯'],"['The way to measure fuel ingredient contents by Gas Chromatography technology was determined, i. e. the contents of the sensitive fuel C was tested by means of calibration curve with diethyl acetate as solvent;']",['diethyl acetate'],['确定了用气相色谱技术测定燃料成分含量的方法，即以乙酸乙酯为溶剂，通过校准曲线测定敏感燃料C的含量；'],['乙酸乙酯'],['乙酸乙酯'],"{'diethyl acetate': 'NO\nDifferent translations: <ethyl acetate: 乙酸乙酯, diethyl acetate: 乙酸二乙酯>'}",
38,ACom paritive Study on the Distribution of A ChE-positive and VIP-imm unoreactive Nervesin SmallIntestine of Guinea Pig and Rat: ACom bined Histoche micaland Immunohistochemical Observation,guinea pig,豚鼠和大鼠小肠A ChE阳性和VIP-imm非反应性神经素分布的ACom对比研究：ACom结合组织化学和免疫组织化学观察,['豚鼠'],"['ACom paritive Study on the Distribution of A ChE-positive and VIP-imm unoreactive Nervesin SmallIntestine of a Pig and Rat: ACom bined Histoche micaland Immunohistochemical Observation', 'ACom paritive Study on the Distribution of A ChE-positive and VIP-imm unoreactive Nervesin SmallIntestine of Guinea mouse and Rat: ACom bined Histoche micaland Immunohistochemical Observation', 'ACom paritive Study on the Distribution of A ChE-positive and VIP-imm unoreactive Nervesin SmallIntestine of Guinea rabbit and Rat: ACom bined Histoche micaland Immunohistochemical Observation']","['a Pig', 'Guinea mouse', 'Guinea rabbit']","['猪和大鼠小肠 A ChE 阳性和 VIP-imm 无反应性神经素分布的 ACom 对比研究：ACom 结合组织化学和免疫组织化学观察', '豚鼠和大鼠A ChE阳性和VIP-imm无反应性神经素小肠分布的ACom对比研究：ACom结合组织化学和免疫组织化学观察', '豚鼠和大鼠A ChE阳性和VIP-imm无反应性神经素小肠分布的ACom对比研究：ACom结合组织化学和免疫组织化学观察']","['猪', '豚鼠', '豚鼠']",['豚鼠'],"{'Guinea mouse': 'NO\nDifferent translations: <Guinea Pig: 豚鼠, Guinea mouse: 几内亚老鼠>', 'Guinea rabbit': ""NO\nDifferent translations: <Guinea Pig: ['豚鼠'], Guinea rabbit: ['几内亚兔']>""}",
39,"Faced with the situation of few personnel in scientific research and poor conditions for experiments, the first generation of staffs began an arduous journey of creation and innovation with their wisdom and hard works and became the vanguard of dairy industry in China.",scientific research,面对科研人员稀少、实验条件恶劣的局面，第一代人凭借自己的智慧和辛勤劳动，开始了艰苦卓绝的创造创新之旅，成为了中国乳业的排头兵。,['科研人员'],"['Faced with the situation of few personnel in scientific fields and poor conditions for experiments, the first generation of staffs began an arduous journey of creation and innovation with their wisdom and hard works and became the vanguard of dairy industry in China.']",['scientific fields'],['面对科研人员稀少、实验条件恶劣的局面，第一代人凭借自己的智慧和辛勤劳动，开始了艰苦卓绝的创造创新之旅，成为中国乳业的排头兵。'],['科研人员'],['科研人员'],"{'scientific fields': 'NO\nDifferent translations: <scientific research: 科研, scientific fields: 科学领域>'}",
40,"Results The thickness of aorta(ADT),rate of aortic diameter change(ΔAD),systolic pressure(SBP),pulse pressure(PBP),nitric oxide(NO),ROS,intima-media thickness(T),diameter(D),the content of smooth muscel cell 〔SMC(Aa%)〕,the content of collagen〔CF(Aa%)〕,the content of hydroxyproline(HC)and maximal dilatory response to Ach(Emax)were correlated with age closely.",nitric oxide,结果主动脉厚度(ADT)、主动脉内径变化率(ΔAD)、收缩压(SBP)、脉压(PBP)、一氧化氮(NO)、ROS、内膜中层厚度(T)、内径(D)、平滑肌细胞含量〔SMC(Aa%)〕、胶原含量〔CF(Aa%)〕、羟脯氨酸(HC)含量、乙酰胆碱最大舒张反应(Emax)与年龄密切相关。,['脉压(PBP)、一氧化氮(NO)、ROS、内膜中层'],"['Results The thickness of aorta(ADT),rate of aortic diameter change(ΔAD),systolic pressure(SBP),pulse pressure(PBP),nitric acid(NO),ROS,intima-media thickness(T),diameter(D),the content of smooth muscel cell 〔SMC(Aa%)〕,the content of collagen〔CF(Aa%)〕,the content of hydroxyproline(HC)and maximal dilatory response to Ach(Emax)were correlated with age closely.']",['nitric acid'],['结果主动脉厚度(ADT)、主动脉内径变化率(ΔAD)、收缩压(SBP)、脉压(PBP)、一氧化氮(NO)、ROS、内膜中层厚度(T)、内膜中层直径(D)、平滑肌细胞含量〔SMC(Aa%)〕、胶原含量〔CF(Aa%)〕、羟脯氨酸(HC)含量、乙酰胆碱最大舒张反应(Emax)与年龄密切相关。'],['脉压(PBP)、一氧化氮(NO)、ROS、内膜'],['脉压(PBP)、一氧化氮(NO)、ROS、内膜中层'],{},
41,At what age do most students graduate from secondary school?,secondary school,大多数学生在什么年龄从中学毕业？,['中学毕业？'],['At what age do most students graduate from secondary education?'],['secondary education'],['大多数学生在什么年龄从中学毕业？'],['中学毕业？'],['中学毕业？'],{'secondary education': 'NO\nDifferent translations: \nsecondary school: 中学\nsecondary education: 中等教育'},
42,"Any shipper or passenger may, on voluntary basis, buy insurance policy for transport of goods at an insurance agency and the insurance agency shall be liable for indemnity in conformity with the agreement as stated in the insurance contract.",insurance policy,托运人、旅客可以自愿向保险机构投保货物运输保险，保险机构按照保险合同的约定承担赔偿责任。,['保险'],"['Any shipper or passenger may, on voluntary basis, buy a policy for transport of goods at an insurance agency and the insurance agency shall be liable for indemnity in conformity with the agreement as stated in the insurance contract.']",['a policy'],['托运人、旅客可以自愿向保险公司购买货物运输保险，保险公司按照保险合同的约定承担赔偿责任。'],['保险'],['保险'],"{'a policy': 'NO\nDifferent translations: <insurance policy: 保险单, a policy: 一项政策>'}",
43,"A few years ago Cimentos de Mo çambique was accused of environmental pollution at this plant, which led to its temporary closure, following a campaign by environmental protection organizations.",environmental protection,几年前，莫桑比克水泥公司被指控该工厂污染环境，在环保组织的呼吁下，该工厂被暂时关闭。,['环保'],"['A few years ago Cimentos de Mo çambique was accused of environmental pollution at this plant, which led to its temporary closure, following a campaign by environmental advocacy organizations.']",['environmental advocacy'],['几年前，莫桑比克水泥公司的该工厂被指控污染环境，在环保组织的呼吁下，该工厂被暂时关闭。'],['环保'],['环保'],"{'environmental advocacy': 'NO\nDifferent translations: <environmental protection: 环境保护, environmental advocacy: 环境倡导>'}",
44,"Abstract: The author introduced procreate and effect factors of motor vehicle pollution,and its dangerous to health.Then,analyzed the causes of Guangzhou′s automobile pollution.At last,the author put forward some countermeasures of reducing automobile pollution.",motor vehicle,摘要：介绍了机动车污染的产生、影响因素及其对健康的危害，分析了广州市汽车污染的成因，最后提出了减少汽车污染的对策。,['机动车'],"['Abstract: The author introduced procreate and effect factors of reducing vehicle pollution,and its dangerous to health.Then,analyzed the causes of Guangzhou′s automobile pollution.At last,the author put forward some countermeasures of reducing automobile pollution.', 'Abstract: The author introduced procreate and effect factors of driving vehicle pollution,and its dangerous to health.Then,analyzed the causes of Guangzhou′s automobile pollution.At last,the author put forward some countermeasures of reducing automobile pollution.', 'Abstract: The author introduced procreate and effect factors of motor car pollution,and its dangerous to health.Then,analyzed the causes of Guangzhou′s automobile pollution.At last,the author put forward some countermeasures of reducing automobile pollution.']","['reducing vehicle', 'driving vehicle', 'motor car']","['摘要：介绍了减少汽车污染的产生和影响因素及其对健康的危害，分析了广州市汽车污染的原因，最后提出了减少汽车污染的对策。', '摘要：介绍了机动车污染的产生、影响因素及其对健康的危害，分析了广州市汽车污染的成因，最后提出了减少汽车污染的对策。', '摘要：介绍了机动车污染的产生、影响因素及其对健康的危害，分析了广州市汽车污染的成因，最后提出了减少汽车污染的对策。']","['减少汽车', '机动车', '机动车']",['机动车'],"{'driving vehicle': ""NO\nDifferent translations: <motor vehicle: ['机动车'], driving vehicle: ['驾驶车辆']>"", 'motor car': 'YES'}",
45,The second section mainly discusses basic theories of the science-tech progress and sustainable development of area's industry.,sustainable development,第二部分主要探讨区域产业科技进步与可持续发展的基本理论。,['持续发展'],"[""The second section mainly discusses basic theories of the science-tech progress and sustainable growth of area's industry.""]",['sustainable growth'],['第二部分主要探讨区域产业科技进步与可持续发展的基本理论。'],['持续发展'],['持续发展'],"{'sustainable growth': 'NO\nDifferent translations: <sustainable development: 可持续发展, sustainable growth: 可持续增长>'}",
46,"Article 194 If it is needed to conduct a technical examination for the application for re-examination, the SDA shall organize the relevant professionals to carry it out pursuant to the original application time limit.",time limit,第一百九十四条 复审申请需要进行技术审查的，国家药品监督管理局应当组织相关专业人员按照原申请期限进行。,['期限。'],"['Article 194 If it is needed to conduct a technical examination for the application for re-examination, the SDA shall organize the relevant professionals to carry it out pursuant to the original application time frame.', 'Article 194 If it is needed to conduct a technical examination for the application for re-examination, the SDA shall organize the relevant professionals to carry it out pursuant to the original application time period.']","['time frame', 'time period']","['第一百九十四条 复审申请需要进行技术审查的，国家药品监督管理局应当组织有关专业人员按照原申请时限进行。', '第一百九十四条 复审申请需要进行技术审查的，国家药品监督管理局应当组织有关专业人员按照原申请期限进行。']","['时限。', '期限。']",['期限。'],"{'time period': 'NO\nDifferent translations: \ntime limit: 期限, time period: 时间段。'}",
47,"Mr. Greenspan also indicated overnight interest rates, which the central bank raised six times since last June, will continue to rise. He said the increases have not hurt the economy.",central bank,格林斯潘还表示，隔夜利率将继续上升。自去年六月以来，央行已六次上调隔夜利率。他表示，利率上调并未损害经济。,['央行'],"['Mr. Greenspan also indicated overnight interest rates, which the central government raised six times since last June, will continue to rise. He said the increases have not hurt the economy.']",['central government'],['格林斯潘还表示，隔夜利率将继续上涨。自去年六月以来，央行已六次上调隔夜利率。他表示，利率上调并未损害经济。'],['央行'],['央行'],"{'central government': 'NO\nDifferent translations: <central bank: 央行, central government: 中央政府>'}",
48,"Grasso's shop, with two employees, is just one of 14 retailers on the ground floor of Hamilton Square, a new apartment building.",ground floor,格拉索的商店有两名员工，是新公寓大楼汉密尔顿广场一楼 14 家零售商之一。,['一楼'],"[""Grasso's shop, with two employees, is just one of 14 retailers on the top floor of Hamilton Square, a new apartment building."", ""Grasso's shop, with two employees, is just one of 14 retailers on the second floor of Hamilton Square, a new apartment building."", ""Grasso's shop, with two employees, is just one of 14 retailers on the first floor of Hamilton Square, a new apartment building."", ""Grasso's shop, with two employees, is just one of 14 retailers on the third floor of Hamilton Square, a new apartment building.""]","['top floor', 'second floor', 'first floor', 'third floor']","['格拉索的商店有两名员工，是新公寓楼汉密尔顿广场顶层 14 家零售商之一。', '格拉索的商店有两名员工，是新公寓楼汉密尔顿广场二楼 14 家零售商之一。', '格拉索的商店有两名员工，是新公寓楼汉密尔顿广场一楼 14 家零售商之一。', '格拉索的商店有两名员工，是新公寓大楼汉密尔顿广场三楼 14 家零售商之一。']","['顶层', '二楼', '一楼', '三楼']",['一楼'],"{'first floor': 'NO\nDifferent translations: <ground floor: 底楼, first floor: 一楼>'}",
49,"Article 44 Business operators who refuse to provide materials needed for price monitoring and checking or provide false materials shall be ordered to correct, with a warning. Whereas they refuse to correct within the prescribed time limit, a fine shall be imposed.",time limit,第四十四条 经营者拒绝提供价格监控所需材料或者提供虚假材料的，责令改正，给予警告。逾期拒不改正的，处以罚款。,['逾期，'],"['Article 44 Business operators who refuse to provide materials needed for price monitoring and checking or provide false materials shall be ordered to correct, with a warning. Whereas they refuse to correct within the prescribed price limit, a fine shall be imposed.', 'Article 44 Business operators who refuse to provide materials needed for price monitoring and checking or provide false materials shall be ordered to correct, with a warning. Whereas they refuse to correct within the prescribed time frame, a fine shall be imposed.', 'Article 44 Business operators who refuse to provide materials needed for price monitoring and checking or provide false materials shall be ordered to correct, with a warning. Whereas they refuse to correct within the prescribed time period, a fine shall be imposed.']","['price limit', 'time frame', 'time period']","['第四十四条 经营者拒绝提供价格监测检查所需资料或者提供虚假资料的，责令改正，给予警告；在规定的价格限额内拒不改正的，处以罚款。', '第四十四条 经营者拒绝提供价格监测检查所需资料或者提供虚假资料的，责令改正，给予警告；逾期不改正的，处以罚款。', '第四十四条 经营者拒绝提供价格监测检查所需资料或者提供虚假资料的，责令改正，给予警告；逾期不改正的，处以罚款。']","['价格限额，', '逾期，', '逾期，']",['逾期，'],"{'time frame': ""NO\nDifferent translations: time limit: ['逾期，'], time frame: ['时间范围，']"", 'time period': 'NO\nDifferent translations: <time limit: 逾期, time period: 时间段>'}",
50,Article 29 A foreign-funded insurance company that applies for the establishment of a branch shall satisfy the following requirements:,insurance company,第二十九条 外资保险公司申请设立分支机构，应当具备下列条件：,['保险公司'],"['Article 29 A foreign-funded private company that applies for the establishment of a branch shall satisfy the following requirements:', 'Article 29 A foreign-funded public company that applies for the establishment of a branch shall satisfy the following requirements:', 'Article 29 A foreign-funded insurance scheme that applies for the establishment of a branch shall satisfy the following requirements:', 'Article 29 A foreign-funded insurance policy that applies for the establishment of a branch shall satisfy the following requirements:', 'Article 29 A foreign-funded insurance plan that applies for the establishment of a branch shall satisfy the following requirements:']","['private company', 'public company', 'insurance scheme', 'insurance policy', 'insurance plan']","['第二十九条 外商投资私营公司申请设立分公司，应当具备下列条件：', '第二十九条 外商投资公众公司申请设立分支机构，应当具备下列条件：', '第二十九条 外资保险机构申请设立分支机构，应当具备下列条件：', '第二十九条 外资保险公司申请设立分支机构，应当具备下列条件：', '第二十九条 外资保险公司申请设立分支机构，应当具备下列条件：']","['私营公司', '公众公司', '外资保险机构', '保险公司', '保险公司']",['保险公司'],"{'insurance policy': 'NO\nDifferent translations: <insurance company: 保险公司, insurance policy: 保险政策>', 'insurance plan': 'NO\nDifferent translations: <insurance company: 保险公司, insurance plan: 保险计划>'}",
51,Comparison study on hemostasis means of vascular seam and by-hand oppress in patients with coronary heart disease after percutaneous transluminal intervention,coronary heart disease,冠心病患者介入治疗后血管缝合与手压止血方法的对比研究,['冠心病'],['Comparison study on hemostasis means of vascular seam and by-hand oppress in patients with coronary heart failure after percutaneous transluminal intervention'],['coronary heart failure'],['冠心病患者介入治疗后血管缝合与手压止血方法的对比研究'],['冠心病'],['冠心病'],"{'coronary heart failure': 'NO\nDifferent translations: <coronary heart disease: 冠心病, coronary heart failure: 冠心衰竭>'}",
52,"(2) where the act by a citizen, legal person or other organization itself causes damage;",legal person,（2）公民、法人或者其他组织的行为本身造成损害的；,['法人'],"['(2) where the act by a citizen, legal entity or other organization itself causes damage;', '(2) where the act by a citizen, legal party or other organization itself causes damage;']","['legal entity', 'legal party']","['（2）公民、法人或者其他组织的行为本身造成损害的；', '（二）公民、法人或者其他组织的行为本身造成损害的；']","['法人', '法人']",['法人'],"{'legal entity': 'YES', 'legal party': 'NO\nDifferent translations: <legal person: 法人, legal party: 法定当事人>'}",
53,"When I studied kung fu, I heard a story of a second-degree black belt who had disabled someone trying to steal her purse at a bus stop.",bus stop,我在学习功夫的时候听说过一个故事，一位二级黑带在公交车站打伤了试图偷她钱包的人。,['公交车站。'],"['When I studied kung fu, I heard a story of a second-degree black belt who had disabled someone trying to steal her purse at a truck stop.', 'When I studied kung fu, I heard a story of a second-degree black belt who had disabled someone trying to steal her purse at a rest stop.', 'When I studied kung fu, I heard a story of a second-degree black belt who had disabled someone trying to steal her purse at a bus station.']","['truck stop', 'rest stop', 'bus station']","['在我学习功夫的时候，我听说过一个故事，一位二级黑带选手在卡车停靠站打伤了试图偷她钱包的人。', '我在学习功夫的时候听说过一个故事，一位二级黑带在休息站打伤了试图偷她钱包的人。', '我在学习功夫的时候听说过一个故事，一位二级黑带在公交车站打伤了试图偷她钱包的人。']","['卡车停靠站。', '休息站。', '公交车站。']",['公交车站。'],"{'bus station': 'NO\nDifferent translations: <bus stop: 公交车站, bus station: 公交车站>'}",
54,"""The pork is the biggest user of soybean products. Corn, its biggest user is beef cattle. So with all due respect, everybody keeps an eye on what type of crop you are raising because it really affects the bottom line of livestock producers in this state,"" said Nelson.",bottom line,“猪肉是大豆产品的最大用户。玉米，其最大的用户是肉牛。所以恕我直言，每个人都会关注你种植的作物类型，因为它确实影响到该州畜牧生产者的底线，”尼尔森说。,['底线'],"['""The pork is the biggest user of soybean products. Corn, its biggest user is beef cattle. So with all due respect, everybody keeps an eye on what type of crop you are raising because it really affects the bottom end of livestock producers in this state,"" said Nelson.', '""The pork is the biggest user of soybean products. Corn, its biggest user is beef cattle. So with all due respect, everybody keeps an eye on what type of crop you are raising because it really affects the bottom half of livestock producers in this state,"" said Nelson.']","['bottom end', 'bottom half']","['“猪肉是大豆产品的最大用户。玉米，其最大的用户是肉牛。所以恕我直言，每个人都会关注你种植的是什么类型的作物，因为它确实影响到该州畜牧生产者的底线，”尼尔森说。', '“猪肉是大豆产品的最大用户。玉米，其最大的用户是肉牛。所以恕我直言，每个人都会关注你种植的是什么类型的作物，因为它确实影响到该州畜牧生产者收入的下半部分，”尼尔森说。']","['底线', '下半']",['底线'],"{'bottom end': 'NO\nDifferent translations: <bottom line: 底线, bottom end: 底端>.'}",
55,"People realize that education quality is the key to the sustainable development of network education, and a well quality is the core competence for the network school's expansion.",sustainable development,人们认识到教育质量是网络教育可持续发展的关键，良好的教育质量是网络学校发展的核心竞争力。,['持续发展'],"[""People realize that education quality is the key to the sustainable growth of network education, and a well quality is the core competence for the network school's expansion."", ""People realize that education quality is the key to the sustainable success of network education, and a well quality is the core competence for the network school's expansion.""]","['sustainable growth', 'sustainable success']","['人们认识到教育质量是网络教育可持续发展的关键，良好的教育质量是网络学校发展的核心竞争力。', '人们认识到教育质量是网络教育持续成功的关键，良好的教育质量是网络学校发展的核心竞争力。']","['持续发展', '持续成功']",['持续发展'],"{'sustainable growth': 'NO\nDifferent translations: <sustainable development: 可持续发展, sustainable growth: 可持续增长>'}",
56,"""When, owing to force majeure, an inward or outward vessel or aircraft is forced to berth, land or jettison and discharge goods and articles at a place without a Customs establishment""",force majeure,“因不可抗力，进出境船舶、航空器被迫在无海关地点停泊、降落或者抛卸货物、物品时”,['不可抗力，'],"['""When, owing to state majeure, an inward or outward vessel or aircraft is forced to berth, land or jettison and discharge goods and articles at a place without a Customs establishment""']",['state majeure'],['“因不可抗力原因，进出境船舶、航空器被迫在无海关地点停泊、降落或者抛卸货物、物品时”'],['不可抗力，'],['不可抗力，'],"{'state majeure': 'NO\nDifferent translations: <force majeure: 不可抗力, state majeure: 国家不可抗力>'}",
57,"CSR is a crucial factor in harmonious development of economy and society, and it is also an important guide line of sustainable development to corporate.",sustainable development,企业社会责任是经济与社会和谐发展的重要因素，也是企业可持续发展的重要指引。,['持续发展'],"['CSR is a crucial factor in harmonious development of economy and society, and it is also an important guide line of sustainable growth to corporate.']",['sustainable growth'],['企业社会责任是经济与社会和谐发展的重要因素，也是企业可持续发展的重要指引。'],['持续发展'],['持续发展'],"{'sustainable growth': 'NO\nDifferent translations: <sustainable development: 可持续发展, sustainable growth: 可持续增长>'}",
58,"As to the series of Jielaili industrial cleasing papers, most of them adopt NBKP or pure non-woven fabrics, which possess strong absorption without hurting objects' surface, dropping soft flocks, generating static electricity or polluting the environment, can meet various industrial requirements, and are the best choice to enhance work efficiency and reduce labor costs.",static electricity,洁来利系列工业清洁纸，大部分采用NBKP或纯无纺布，吸附力强，不伤物体表面，不掉毛，不产生静电，不污染环境，可满足各种工业要求，是提高工作效率、降低人工成本的最佳选择。,['静电'],"[""As to the series of Jielaili industrial cleasing papers, most of them adopt NBKP or pure non-woven fabrics, which possess strong absorption without hurting objects' surface, dropping soft flocks, generating static heat or polluting the environment, can meet various industrial requirements, and are the best choice to enhance work efficiency and reduce labor costs."", ""As to the series of Jielaili industrial cleasing papers, most of them adopt NBKP or pure non-woven fabrics, which possess strong absorption without hurting objects' surface, dropping soft flocks, generating static energy or polluting the environment, can meet various industrial requirements, and are the best choice to enhance work efficiency and reduce labor costs.""]","['static heat', 'static energy']","['洁来利系列工业清洁纸，大部分采用NBKP或纯无纺布，吸附力强，不伤物体表面，不掉软毛，不产生静电，不污染环境，可满足各种工业要求，是提高工作效率、降低人工成本的最佳选择。', '洁来利系列工业清洁纸，大部分采用NBKP或纯无纺布，吸附力强，不伤物体表面，不掉落柔软绒毛，不产生静电，不污染环境，可满足各种工业要求，是提高工作效率、降低人工成本的最佳选择。']","['静电', '静电']",['静电'],"{'static heat': 'NO\nDifferent translations: <static electricity: 静电, static heat: 静热>', 'static energy': 'NO\nDifferent translations: <static electricity: 静电, static energy: 静能量>.'}",
59,"Rupert Pupkin, kidnapping king of comedy... was sentenced to six$ years imprisonment... at the government's minimum security facility... in Allenwood, Pennsylvania, for his part... in the abduction of talk show hostJerry Langford.",talk show,绑架喜剧之王鲁珀特·普普金（Rupert Pupkin）……因绑架脱口秀主持人杰里·兰福德（Jerry Langford）而被判处六年监禁……在宾夕法尼亚州艾伦伍德的政府最低安全设施中……。,['脱口秀'],"[""Rupert Pupkin, kidnapping king of comedy... was sentenced to six$ years imprisonment... at the government's minimum security facility... in Allenwood, Pennsylvania, for his part... in the abduction of game show hostJerry Langford."", ""Rupert Pupkin, kidnapping king of comedy... was sentenced to six$ years imprisonment... at the government's minimum security facility... in Allenwood, Pennsylvania, for his part... in the abduction of talk radio hostJerry Langford.""]","['game show', 'talk radio']","['绑架喜剧之王鲁珀特·普普金……因绑架游戏节目主持人杰里·兰福德而被判处六年监禁……在宾夕法尼亚州艾伦伍德的政府最低安全设施中……。', '绑架喜剧之王鲁珀特·普普金（Rupert Pupkin）...因绑架脱口秀主持人杰里·兰福德（Jerry Langford）而被判处六年监禁...在宾夕法尼亚州艾伦伍德的政府最低安全设施中...。']","['游戏节目', '脱口秀']",['脱口秀'],"{'talk radio': 'NO\nDifferent translations: <talk show: 脱口秀, talk radio: 脱口秀>.'}",
60,"(1). the name, sex, age, nationality, occupation, employer and address of the party, or the name, address and name and position of the legal representative or principal person in charge of the legal person or other organization;",legal person,(1).当事人的姓名、性别、年龄、国籍、职业、工作单位、住所，或者法人或者其他组织的法定代表人或者主要负责人的姓名、地址、姓名和职务；,[''],"['(1). the name, sex, age, nationality, occupation, employer and address of the party, or the name, address and name and position of the legal representative or principal person in charge of the legal party or other organization;']",['legal party'],['（一）当事人的姓名、性别、年龄、国籍、职业、工作单位、住所，或者法人或者其他组织的姓名、住所、法定代表人或者主要负责人的名称、职务；'],[''],[''],"{'legal party': 'NO\nDifferent translations: legal person: 法人, legal party: 法定当事人'}",
61,(a) in the case of a document to be served on a body corporate by delivering it to the secretary of the body at its registered or principal office or sending it by registered post or the recorded delivery service addressed to the secretary of that body at that office;,body corporate,（a）如果文件需送达法人团体，则可将文件送交该法人团体的注册或主要办事处的秘书，或通过挂号信或记录派递服务将其寄送至该法人团体的秘书办事处；,['法人团体'],"['(a) in the case of a document to be served on a company corporate by delivering it to the secretary of the body at its registered or principal office or sending it by registered post or the recorded delivery service addressed to the secretary of that body at that office;', '(a) in the case of a document to be served on a document corporate by delivering it to the secretary of the body at its registered or principal office or sending it by registered post or the recorded delivery service addressed to the secretary of that body at that office;', '(a) in the case of a document to be served on a corporation corporate by delivering it to the secretary of the body at its registered or principal office or sending it by registered post or the recorded delivery service addressed to the secretary of that body at that office;', '(a) in the case of a document to be served on a person corporate by delivering it to the secretary of the body at its registered or principal office or sending it by registered post or the recorded delivery service addressed to the secretary of that body at that office;']","['company corporate', 'document corporate', 'corporation corporate', 'person corporate']","['（a）对于需要向公司法人送达的文件，可通过将文件送交至公司法人注册办事处或主要办事处的秘书，或通过挂号信或记录派递服务将其寄送至该办事处的秘书；', '(a) 如果文件是向法人送达的，则将文件送交该机构的注册或主要办事处的秘书，或通过挂号信或记录派递服务将其寄送至该机构的秘书办事处；', '（a） 如果文件需送达法人团体，则可将文件送交该团体的注册或主要办事处的秘书，或通过挂号信或记录派递服务寄送至该团体的秘书；', '(a) 如果文件需送达给法人，则应将其送交至该机构的注册或主要办事处的秘书，或通过挂号信或记录派递服务将其寄送至该机构的秘书办事处；']","['公司法人', '法人', '法人团体', '法人']",['法人团体'],"{'corporation corporate': 'NO\nDifferent translations: <body corporate: 法人团体, corporation corporate: 公司法人>'}",
62,The urban riverfront area is becoming more and more vigorous in China. The urban riverfront area also becomes the hot spot in the landscape plan and design.,hot spot,城市滨河区在我国正变得越来越有活力，城市滨河区也成为景观规划设计的热点。,['热点'],['The urban riverfront area is becoming more and more vigorous in China. The urban riverfront area also becomes the hot topic in the landscape plan and design.'],['hot topic'],['城市滨河区在我国正变得越来越有活力，城市滨河区也成为景观规划设计的热点。'],['热点'],['热点'],"{'hot topic': 'NO\nDifferent translations: <hot spot: 热点, hot topic: 热门话题>'}",
