序号,原句,术语,参考翻译,原句翻译,原句术语翻译,insert变异,insert变异翻译,insert术语翻译,原句术语翻译,请问这组插入变异是否存在术语翻译不一致的错误
46,"For ALT,levels only incrased in patients with hepatitis and typhoid fever with none in bacillary dysentery and mumps. In pediatric patients with RRI,RBCC_3bRR(%),CG,C_3,IgG levels were significantly higher than those in controls(P<0.05) with no significant differences in the case of RBCICR(%),HA,IgM and IgA levels(P>0.05).",typhoid fever,"['伤寒', '伤寒症']",结论:A、B两组RRI患儿血清ALT、HCV、IL-1β、IL-6、IL-8、IL-1β ...,[''],"For ALT,levels only incrased in patients with hepatitis and typhoid fever (an illness caused by the bacterium serovar Salmonella Typhi. Not to be confused with typhus) with none in bacillary dysentery and mumps. In pediatric patients with RRI,RBCC_3bRR(%),CG,C_3,IgG levels were significantly higher than those in controls(P<0.05) with no significant differences in the case of RBCICR(%),HA,IgM and IgA levels(P>0.05).",对于 ALT，只有肝炎和伤寒（一种由伤寒沙门氏菌引起的疾病，不要与斑疹伤寒混淆）患者 ALT 水平升高，而细菌性痢疾和腮腺炎患者 ALT 水平不升高。在 RRI 患儿中，RBCC_3bRR(%)、CG、C_3、IgG 水平显著高于对照组（P&lt;0.05），而 RBCICR(%)、HA、IgM 和 IgA 水平无显著差异（P&gt;0.05）。,['伤寒'],[''],
47,"Circular of the National Development and Reform Commission, the Ministry of Commerce of the People's Republic of China, on Making Efforts to Accomplish the Work of Administrating the Procurement Price and Market of Cocoon in 2004",People's Republic of China,['中华人民共和国'],国家发展改革委、商务部关于做好2004年茧丝收购价格和市场管理工作的通知,[''],"Circular of the National Development and Reform Commission, the Ministry of Commerce of the People's Republic of China (the official name of China, sometimes contrasted to the Republic of China (Taiwan)), on Making Efforts to Accomplish the Work of Administrating the Procurement Price and Market of Cocoon in 2004",国家发展和改革委员会、中华民国商务部关于做好采购价格管理工作的通知2004年蚕茧市场,['中华民国'],[''],
48,"According to the directorate there were a number of factors that had buoyed Macau's economic growth, particularly investment which had increased by 56.9 percent against 2004 and total gaming revenues, which rose by 8.3 percent year on year.",economic growth,['经济增长'],澳门特区政府旅游局局长李满长表示，2004年澳门的经济增长得益于多项因素，尤其是投资，投资额比2004年增长了56.9%，博彩总收入也比2004年增长了8.3%。,['经济增长，'],"According to the directorate there were a number of factors that had buoyed Macau's economic growth (the growth of the economic output of a country), particularly investment which had increased by 56.9 percent against 2004 and total gaming revenues, which rose by 8.3 percent year on year.",澳门特区政府旅游局局长兼旅游局局长罗尔德•阿卜杜拉•阿齐兹表示，2004年澳门的旅游业增长了2.4%，而2005年的旅游业收入增长了1.4%。,[''],['经济增长，'],
49,"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",air pollution,['空气污染'],"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",['oftheAirPollutionControl'],"""conventional liquid fuel"" (常规液体燃料) and ""conventional solid fuel"" (常规固体燃料) have the same meanings as in regulation 3 (2) of the Air Pollution (the contamination of the atmosphere by noxious gases and particulates) Control (Furnaces, Ovens and Chimneys) (Installation and Alteration) Regulations (Cap 311 sub. leg.);",“常规液体燃料”(conventional liquid fuel) 及“常规固体燃料”(conventional solid fuel) 的涵义与《空气污染(有毒气体及粒子对大气的污染)管制(火炉、烤炉及烟囱)(安装及改动)规例》(第311章，附属法例)第3(2)条中该等词的涵义相同；,['空气污染'],['oftheAirPollutionControl'],
50,"Requisition of land other than those prescribed in the preceding paragraph shall be subject to the approval of people's governments of the provinces, autonomous regions and municipalities directly under the Central Government, and submitted to the State Council for the record.",central government,['中央政府'],征用前款规定以外的土地，应当经省、自治区、直辖市人民政府批准，并报国务院备案。,['，'],"Requisition of land other than those prescribed in the preceding paragraph shall be subject to the approval of people's governments of the provinces, autonomous regions and municipalities directly under the Central Government (the highest level of government in a unitary state), and submitted to the State Council for the record.",征用前款规定以外的其他土地，须经省、自治区、直辖市人民政府(单一制国家为最高人民政府)批准，报国务院备案。,['人民政府'],['，'],
51,The gene expression of chimeric virus could be detected in 293T cells transfected by SHIV proviral DNA.,gene expression,['基因表达'],SHIV前病毒DNA转染的293T细胞中可以检测到嵌合病毒基因的表达。,[''],The gene expression (the transcription and translation of a gene into messenger RNA and thus into a protein) of chimeric virus could be detected in 293T cells transfected by SHIV proviral DNA.,在SHIV前病毒DNA转染的293T细胞中可以检测到嵌合病毒的基因表达(基因转录和翻译成信使RNA，进而翻译成蛋白质的过程)。,['基因'],[''],
52,"(2) All matters relating to the remuneration and the terms and conditions of appointment of the Chief Executive, and his suspension or dismissal from office, shall be determined by the Corporation, subject to the approval of the Governor.",chief executive,"['首席执行官', '执行总裁', '行政长官', '最高执行官']",(1) 任何有关行政长官的薪酬及聘用条款及条件，以及行政长官的停职或免职，均由公司决定，但须经总督批准。,['行政长官，'],"(2) All matters relating to the remuneration and the terms and conditions of appointment of the Chief Executive (chief executive officer), and his suspension or dismissal from office, shall be determined by the Corporation, subject to the approval of the Governor.",(1) 任何因应本条例所订定的事宜，均须经总督批准。,[''],['行政长官，'],
53,Research on Perception Ability of Risk and Resignation of Independent Directors: Case Study of Chinese Listed Companies,case study,"['案例研究', '个案调查', '个案研究']",独立董事风险感知能力与辞职研究——基于中国上市公司的案例研究,['案例研究'],Research on Perception Ability of Risk and Resignation of Independent Directors: Case Study (a case used in a such research) of Chinese Listed Companies,独立董事风险感知能力与辞职研究——以中国上市公司为例,[''],['案例研究'],
54,"The same source indicated that between January and May exports to Cape Verde increased 27 percent to 72.3 million euros(US$92.9 million), while sales to Brazil rose 35 percent to 82.3 million euros(US$106 million).",Cape Verde,['佛得角'],葡萄牙里斯本8月11日电－据葡萄牙通讯社报道，葡萄牙对巴西的出口额达8230万欧元（1.06亿美元），同比分别增长14%和27%。,[''],"The same source indicated that between January and May exports to Cape Verde (archipelago in West Africa) increased 27 percent to 72.3 million euros(US$92.9 million), while sales to Brazil rose 35 percent to 82.3 million euros(US$106 million).",同一消息来源显示，1月至5月，中国对佛得角（西非群岛）的出口增长27%，至7230万欧元（9290万美元），而对巴西的出口增长35%，至8230万欧元（1.06亿美元）。,['佛得角'],[''],
55,The safest course of action would be to re-build the system.,course of action,"['计划', '办法', '行动']",最安全的做法是重建系统。,['做法'],"The safest course of action (a plan; a set of intended actions, through which one intends to achieve a goal) would be to re-build the system.",最安全的行动方案（一项计划；一组预期的行动，通过这些行动，人们打算实现一个目标）是重建系统。,['行动方案'],['做法'],
56,"Article  2 Organs for examining and confirming the two-type enterprises (EC organs) shall be MOFERT and foreign economic relations and trade departments of provinces, autonomous regions, municipalities directly under the Central Government, municipalities separately listed on the State plan and special economic zones (hereinafter referred to as provincial-level EC organs).",central government,['中央政府'],第二条 两型企业的审核认定机关（简称认定机关）为商务部和各省、自治区、直辖市、计划单列市及经济特区对外经济贸易主管部门（以下简称省级认定机关）。,[''],"Article  2 Organs for examining and confirming the two-type enterprises (EC organs) shall be MOFERT and foreign economic relations and trade departments of provinces, autonomous regions, municipalities directly under the Central Government (the highest level of government in a unitary state), municipalities separately listed on the State plan and special economic zones (hereinafter referred to as provincial-level EC organs).",第二条 两型企业的审核认定机关（以下简称认定机关）为商务部和各省、自治区、直辖市（单一制国家的最高政府部门）、计划单列市、经济特区对外经济贸易主管部门（以下简称省级认定机关）。,['、'],[''],
57,"Chen's daily chat show is on Phoenix satellite television station, the first foreign-funded station to be beamed into the mainland.",satellite television,"['卫视', '卫星电视']",陈的每日脱口秀节目在凤凰卫视播出，该电视台是第一家在大陆播出的外资电视台。,['凤凰卫视'],"Chen's daily chat show is on Phoenix satellite television (a type of cable television service that is broadcasted by a communications satellite and is received by an outdoor antenna or satellite dish) station, the first foreign-funded station to be beamed into the mainland.",陈的每日脱口秀节目在凤凰卫视（一种通过通信卫星播放、通过室外天线或卫星天线接收的有线电视服务）电台播出，该电台是第一家在大陆播出的外资电视台。,['电台'],['凤凰卫视'],
58,"The project is part of the next Inidcative Cooperation Program(PIC) between Portugal and Mozambique for the 2007-2009 period, the memorandum of understanding for which was signed Wednesday by Jo ão Cravinho and the Mozambican deputy foreign minister, Henrique Banze.",memorandum of understanding,['谅解备忘录'],莫桑比克马里兰州马里恩省马里兰市，马里兰州马里兰大学，葡萄牙语：Málaga de Málaga，中文：葡萄牙语：Málaga de Málaga，中文：莫桑比克马里兰大学，葡萄牙语：Málaga de Málaga，中文：莫桑比克马里兰大学，葡萄牙语：Málaga de Málaga，中文：莫桑比克马里兰大学，葡萄牙语：Málaga de Málaga，中文：,['中文Má'],"The project is part of the next Inidcative Cooperation Program(PIC) between Portugal and Mozambique for the 2007-2009 period, the memorandum of understanding (a document that outlines the legal and factual premises believed by the parties to have been agreed to between them) for which was signed Wednesday by Jo ão Cravinho and the Mozambican deputy foreign minister, Henrique Banze.",该项目是葡萄牙和莫桑比克2007-2009年下一个合作计划（PIC）的一部分，谅解备忘录（一份概述双方认为已达成一致的法律和事实前提的文件）于周三由若昂•克拉维尼奥和莫桑比克副外交部长恩里克•班泽签署。,['谅解备忘录'],['中文Má'],
59,ls that a natural catastrophe or act of God or something?,act of God,"['天灾', '不可抗力']",这是自然灾害还是天灾之类的？,['天灾之类'],"ls that a natural catastrophe or act of God (see: act, of, God) or something?",这是自然灾害还是上帝的行为（参见：上帝的行为）还是其他什么？,['上帝的行为'],['天灾之类'],
60,"December 1 marked World Aids Day. People around the world join together to celebrate progress in fighting acquired immune deficiency syndrome, better known as AIDS.",acquired immune deficiency syndrome,"['获得性免疫缺陷综合征', '后天免疫力缺乏症候群']",12 月 1 日是世界艾滋病日。世界各地的人们齐聚一堂，庆祝抗击艾滋病的进展。,['艾滋病的'],"December 1 marked World Aids Day. People around the world join together to celebrate progress in fighting acquired immune deficiency syndrome (an infectious disease, caused by HIV, that causes the gradual degeneration of the body's immune system), better known as AIDS.",12 月 1 日是世界艾滋病日。世界各地的人们齐聚一堂，庆祝抗击艾滋病（一种由 HIV 引起的传染病，会导致人体免疫系统逐渐退化）的进展。艾滋病又称获得性免疫缺陷综合征。,['获得性免疫缺陷综合征'],['艾滋病的'],
61,"Have lose her passport, she is now In deep water",deep water,"['水深火热', '深水']",护照丢了，她现在陷入困境,['陷入困境'],"Have lose her passport, she is now In deep water (see: deep, water)",失去了护照，她现在处于深水中（参见：深水）,['深水'],['陷入困境'],
62,"LEGO has essentially taken the concrete block, the building block of the world,",building block,"['积木', '基础']",乐高本质上采用了混凝土块，世界的基石，,['基石'],"LEGO has essentially taken the concrete block, the building block (a component that is part of a larger system) of the world,",乐高本质上已经占据了世界的混凝土块、构建块（作为更大系统的一部分的组件），,['构建块'],['基石'],
63,"(3) In the case of ventilation trunks and ducts having a cross-sectional area of 0.02 square metre or more which pass through main zone divisions, the following provisions shall apply-",square metre,"['平米', '平方米', '平方']",(2) 任何通风管道及通风导管的横截面积不得超过其最大横截面积，亦不得超过其最大横截面积的一半。,[''],"(3) In the case of ventilation trunks and ducts having a cross-sectional area of 0.02 square metre (a standard unit of area equal to the area of a square whose sides are one metre long (that is, an area one meter square) Symbol: m2) or more which pass through main zone divisions, the following provisions shall apply-",(2) 凡通风管道及管道的横截面积为0.02平方米(面积的标准单位，相等于边长为一米的正方形的面积(即一平方米的面积)符号：m2)或以上，并穿过主要区域分区，则须遵守以下规定─,['平方米'],[''],
64,"And you will have fun en route, though not nearly as much as you'll have once you get that language in working order and take it out to the firing range of the real world!",working order,"['正常运转状态', '正常工作']",你会在途中享受到乐趣，尽管不如你掌握了该语言并将其带入现实世界的射击场后获得的乐趣！,[''],"And you will have fun en route, though not nearly as much as you'll have once you get that language in working order (the state or condition of being operational or of functioning acceptably) and take it out to the firing range of the real world!",你会在途中享受到乐趣，尽管不如你让该语言处于工作状态（可操作或功能可接受的状态或条件）并将其带到真实的射击范围后获得的乐趣那么多。世界！,['工作状态'],[''],
65,Diagnostic Value of X-Ray Computed Tomography on Neck Masses in Children,computed tomography,"['计算机体层成像', '电脑断层扫描']",X线CT对儿童颈部肿块的诊断价值,['CT'],"Diagnostic Value of X-Ray Computed Tomography (a form of radiography which uses computer software to create images, or slices, at various planes of depth from images taken around a body or volume of interest, sometimes called “computerized tomography”) on Neck Masses in Children",X 射线计算机断层扫描（一种使用计算机软件从围绕身体或感兴趣体积拍摄的图像中创建不同深度平面的图像或切片的射线照相术，有时称为“计算机断层扫描”）对儿童颈部肿块的诊断价值,['计算机断层扫描'],['CT'],
66,Article  16 The procedure by which the bearer of the instrument exercises his rights or preserves his rights against the debtor shall be carried out in the business premises of the party concerned during business hours or at their place of residence if no business premises exist.,business hours,['营业时间'],第十六条 持票人对债务人行使权利或者保全权利的程序，应当在当事人的营业场所营业时间内办理；没有营业场所的，应当在当事人的居住地办理。,['营业时间'],Article  16 The procedure by which the bearer of the instrument exercises his rights or preserves his rights against the debtor shall be carried out in the business premises of the party concerned during business hours (the hours and days when a given business is available to the public) or at their place of residence if no business premises exist.,第十六条 票据持票人对债务人行使权利或者保全权利，应当在当事人营业场所内（即当事人可以营业的时间、日期）办理；没有营业场所的，应当在其住所内办理。,[''],['营业时间'],
67,"Tavares Moreira, a consultant at Banco Africano de Investimento, a financial institution in which Sonangol has a stake and which is leading the operation, told the paper that three Portuguese-owned financial groups were part of the consortium–Banco Fomento Angola, owned by BPI, Millennium Angola and Banco Totta Angola.",financial institution,['金融机构'],安哥拉非洲投资银行（Banco Africano de Investimento）顾问塔瓦雷斯·莫雷拉（Tavares Moreira）告诉该报，该财团包括三家葡萄牙金融集团，分别是安哥拉投资银行（Banco Fomento Angola，由葡萄牙投资银行（BPI）拥有）、安哥拉千禧银行（Millennium Angola）和安哥拉托塔银行（Banco Totta Angola）。安哥拉国家石油公司在该银行持有股份。,[''],"Tavares Moreira, a consultant at Banco Africano de Investimento, a financial institution (an institution, such as a bank, insurance company or fund, that provides financial services for its clients or members) in which Sonangol has a stake and which is leading the operation, told the paper that three Portuguese-owned financial groups were part of the consortium–Banco Fomento Angola, owned by BPI, Millennium Angola and Banco Totta Angola.",安哥拉非洲投资银行（Banco Africano de Investimento）是一家金融机构（为其客户或成员提供金融服务的机构，例如银行、保险公司或基金），Sonangol 持有该银行的股份，并主导该业务。该银行顾问 Tavares Moreira 告诉该报，该财团包括三家葡萄牙金融集团，即 BPI 旗下的安哥拉 Fomento 银行、Millennium Angola 银行和 Banco Totta Angola 银行。,['金融机构'],[''],
68,"""automated people mover"" (旅客捷运系统) means the automated transportation system consisting of trains for carrying passengers between stations within the Airport;",people mover,['旅客捷运系统'],“旅客捷运系统”（automated people mover） 指由列车组成，用以在机场内各站之间运载乘客的自动化运输系统；,['”automatedpeoplemover'],"""automated people mover (a fully automated, grade-separated mass transit system, typically serving a small area such as an airport)"" (旅客捷运系统) means the automated transportation system consisting of trains for carrying passengers between stations within the Airport;","“旅客捷运系统”（automated people mover (a fully automated, gradated mass transport system, generally service a small area as a airport） ） 指由列车组成的自动化运输系统，用于在机场内各站之间运载乘客；",['旅客”'],['”automatedpeoplemover'],
69,"As a new technique in the field of microchannel phase-change heat transfer, micro capillary grooved heat sink can drive fluid flow capillary force and creat enhanced evaporation heat transfer conditions promoting the formation of an extended meniscus in the three-phase contact-line region of a microgroove. It has been used to achieve the heat exchanges with high heat transfer coefficients and high heat flux.",heat sink,['散热片'],微毛细管沟槽散热片作为微通道相变传热领域的一项新技术，可以驱动流体流动毛细力，创造强化的蒸发传热条件，促进三相接触线区域形成延伸的弯月面。微槽。它已被用来实现高传热系数和高热通量的热交换。,['散热片'],"As a new technique in the field of microchannel phase-change heat transfer, micro capillary grooved heat sink (a place toward which the heat moves in a system) can drive fluid flow capillary force and creat enhanced evaporation heat transfer conditions promoting the formation of an extended meniscus in the three-phase contact-line region of a microgroove. It has been used to achieve the heat exchanges with high heat transfer coefficients and high heat flux.",微毛细槽道热沉（系统中热量向某一方向移动的地方）作为微通道相变传热领域的一项新技术，利用毛细力驱动流体流动，在微槽三相接触线区域形成扩展弯月面，创造强化蒸发传热条件，实现高传热系数、高热流密度的换热。,['热沉'],['散热片'],
70,"Circular of the Ministry of Finance, the State Administration of Taxation of the People's Republic of China, on Relevant Issues concerning the Cancellation of Special Agricultural Taxes Except Tobacco Leaf",People's Republic of China,['中华人民共和国'],财政部、国家税务总局关于取消烟叶以外农业特别税有关问题的通知,[''],"Circular of the Ministry of Finance, the State Administration of Taxation of the People's Republic of China (the official name of China, sometimes contrasted to the Republic of China (Taiwan)), on Relevant Issues concerning the Cancellation of Special Agricultural Taxes Except Tobacco Leaf",中华人民共和国财政部、国家税务总局关于取消烟叶以外农业特别税有关问题的通知,['中华人民共和国财政部'],[''],
71,"Output Value of Farming, Forestry, Animal Husbandry, and Fishery",animal husbandry,"['畜牧', '畜牧业']",农林牧渔业产值,[''],"Output Value of Farming, Forestry, Animal Husbandry (the management and care of farm animals by humans for profit, in which genetic qualities and behaviour, considered to be advantageous to humans, are further developed), and Fishery",农、林、牧业（人类以营利为目的对农场动物进行管理和照顾，进一步发展被认为对人类有利的遗传品质和行为）和渔业的产值,['牧业'],[''],
72,"Following the lead in Asia, a shock wave of heavy declines hit all of the European markets Friday. And after weeks of extreme volatility, worries are spreading from the global financial centers to the average man and woman on the street.",shock wave,"['冲击波', '激波', '震波']",继亚洲股市之后，周五欧洲股市也遭遇了大幅下跌。经过数周的剧烈波动后，担忧情绪已从全球金融中心蔓延至普通民众。,[''],"Following the lead in Asia, a shock wave (any violent disturbance) of heavy declines hit all of the European markets Friday. And after weeks of extreme volatility, worries are spreading from the global financial centers to the average man and woman on the street.",继亚洲股市之后，周五欧洲股市也遭遇了大幅下跌的冲击波（任何剧烈波动）。经过数周的剧烈波动后，担忧情绪已从全球金融中心蔓延到普通民众。,['冲击波'],[''],
73,"When we are in ""hot water,"" we are in trouble.",hot water,"['热水', '汤']",当我们陷入“困境”时，我们就有麻烦了。,['“困境”，'],"When we are in ""hot water (see: hot, water),"" we are in trouble.",当我们处于“热水（参见：热水）”时，我们就有麻烦了。,['“热水”，'],['“困境”，'],
74,ANALYSES OF RUSTY STAIN ON THE SURFACE OF HIGH-SPEED WIRE ROD AFTER HYDROCHLORIC ACID PICKLING,hydrochloric acid,"['氢氯酸', '盐酸']",高速线材盐酸酸洗后表面锈斑分析,['线材'],"ANALYSES OF RUSTY STAIN ON THE SURFACE OF HIGH-SPEED WIRE ROD AFTER HYDROCHLORIC ACID (a strong acid made by dissolving the gas hydrogen chloride in water, it reacts with alkalis, bases and many metals to form chlorides; it has many industrial applications) PICKLING",高速线材经盐酸（将气体氯化氢溶解于水中而制成的强酸，与碱、碱和多种金属反应生成氯化物，工业用途广泛）酸洗后表面锈斑分析,[''],['线材'],
75,"Output Value of Farming, Forestry, Animal Husbandry, and Fishery by Region",animal husbandry,"['畜牧', '畜牧业']",分地区农林牧渔业产值,[''],"Output Value of Farming, Forestry, Animal Husbandry (the management and care of farm animals by humans for profit, in which genetic qualities and behaviour, considered to be advantageous to humans, are further developed), and Fishery by Region",各地区农、林、牧业（人类以营利为目的对农场动物进行管理和照顾，进一步发展被认为对人类有利的遗传品质和行为）和渔业的产值,['牧业'],[''],
76,"Somewhere in the BBC archives, there is a treasure trove of cricket history for future reference",treasure trove,['宝库'],BBC 档案馆中保存着大量板球历史资料，可供日后参考,['大量'],"Somewhere in the BBC archives, there is a treasure trove (a valuable discovery) of cricket history for future reference",BBC 档案馆中保存着大量板球历史宝藏（一项宝贵的发现），可供日后参考,['宝藏'],['大量'],
77,"(1) Subject to subregulation (2), no person shall use a cylinder to supply liquefied petroleum gas to a gas appliance unless a pressure-regulator, set at the pressure at which that appliance is designed to receive gas, is fitted to the-",liquefied petroleum gas,['液化石油气'],(c) 凡任何人在接获任何指明的申请后，须将该等申请送交该局，而该局须将该等申请送交该局，并须将该申请送交该局。,['等申请'],"(1) Subject to subregulation (2), no person shall use a cylinder to supply liquefied petroleum gas (a mixture of propane and butane with traces of some other gases, which is kept in a liquid state at high pressure in metal bottles, and used as a source of gas for cooking, heating and as a fuel in internal combustion engines in vehicles) to a gas appliance unless a pressure-regulator, set at the pressure at which that appliance is designed to receive gas, is fitted to the-",(c) 凡任何人将液化石油气(丙烷及丁烷与微量其他气体的混合物，以高压液态保存于金属瓶内，用作煮食、取暖的气源，以及用作车辆内燃机的燃料)供应至气体用具，则属例外。,['液化石油气'],['等申请'],
78,How to Perform the Turnkey Lump Sum Contract for a Provincial Level Design Institute,lump sum,['一次性付款'],省级设计院如何履行总承包合同,['承包合同'],"How to Perform the Turnkey Lump Sum (a relatively large single payment of money often paid and received instead of, or in addition to, a sequence of smaller payments) Contract for a Provincial Level Design Institute",如何履行省级设计院的交钥匙工程合同（一笔相对较大的款项，通常作为一系列小额付款的补充或补充）,['钥匙工程'],['承包合同'],
79,"When this occurs, the proper course of action is to remove oneself",course of action,"['计划', '行动', '办法']",发生这种情况时，正确的做法是离开,['的做法'],"When this occurs, the proper course of action (a plan; a set of intended actions, through which one intends to achieve a goal) is to remove oneself",当这种情况发生时，正确的行动方针（一项计划；一系列预期的行动，通过这些行动，一个人打算实现一个目标）是移除自己,['行动方针'],['的做法'],
80,Introduction of the Software DYNAFORM-PC and Its Application in Sheet Metal Stamping,sheet metal,['板金'],DYNAFORM-PC软件介绍及其在板料冲压成形中的应用,['板料'],"Introduction of the Software DYNAFORM-PC and Its Application in Sheet Metal (metal worked into a thin, flat sheet, used widely as construction material and raw material for a multitude of industrial products, it is thicker than foil and thinner than plate) Stamping",DYNAFORM-PC 软件简介及其在钣金（金属加工成薄而平的板材，广泛用作建筑材料和多种工业产品的原材料，比箔厚，比板材薄）冲压中的应用,['钣金'],['板料'],
81,Technical specification for engineering surveying of fossil fuel power plants,fossil fuel,['化石燃料'],火力发电厂工程勘察技术规范,['火力发电厂'],"Technical specification for engineering surveying of fossil fuel (any fuel derived from hydrocarbon deposits such as coal, petroleum, natural gas and, to some extent, peat; these fuels are non-renewable, and their burning moves carbon from underground into the atmosphere via the greenhouse gas carbon dioxide) power plants",化石燃料工程测量技术规范（任何源自碳氢化合物沉积物的燃料，例如煤、石油、天然气，以及某种程度上的泥炭；这些燃料是不可再生的，它们的燃烧将碳从地下通过大气层转移到大气中）温室气体二氧化碳）发电厂,['化石燃料'],['火力发电厂'],
82,"Analysis and Treatment of Crack of Concrete Flexural Member,Arisen from Dead Load",dead load,['静荷重'],混凝土受弯构件自重裂缝的分析及处理,[''],"Analysis and Treatment of Crack of Concrete Flexural Member,Arisen from Dead Load (the weight of a structure itself, including the weight of fixtures or equipment permanently attached to it)",混凝土受弯构件因恒载（结构本身的重量，包括永久固定在结构上的固定装置或设备的重量）引起的裂缝分析与处理,['因恒载'],[''],
83,"Article 8 The Ministry of Commerce shall, in line with the principles of fairness and justice, notify the general public of those illegal or irregular foreign trade operators who have undermined the foreign trade order and their acts.",general public,"['大众', '公众', '群众', '外行']",第八条 商务部应当按照公平、公正的原则，对破坏对外贸易秩序的违法、违规对外贸易经营者及其行为进行通报。,[''],"Article 8 The Ministry of Commerce shall, in line with the principles of fairness and justice, notify the general public (members of the public not in the attentive public of any given issue; laypeople) of those illegal or irregular foreign trade operators who have undermined the foreign trade order and their acts.",第八条 商务部应当本着公平、公正的原则，向社会公众（未关注问题的公众、非专业人士）通报损害其合法权益的违法、违规对外贸易经营者。对外贸易秩序及其行为。,['社会公众'],[''],
84,The Qualitative Simulation Based on Deep Knowledge Model of Signed Directed Graph,directed graph,['有向图'],基于符号有向图深度知识模型的定性模拟,[''],"The Qualitative Simulation Based on Deep Knowledge Model of Signed Directed Graph (a graph in which the edges are ordered pairs, so that, if the edge (a, b) is in the graph, the edge (b, a) need not be in the graph and is distinct from (a, b) if it is)","基于有向符号图深度知识模型的定性模拟（有向符号图是一种边为有序对的图，若边 (a, b) 在图中，则边 (b, a) 不必在图中，若在图中则与 (a, b) 不同）",['符号图'],[''],
85,"(a) on the west, by a straight line drawn from position latitude 22o 17 '43 ""north, longitude 114o 09' 56"" east to position latitude 22o 17 '13.5 ""north, longitude 114o 09' 19"" east;",straight line,['直线'],(a) 西面，由北纬22 °17&#39;43&quot;、东经114 °09&#39;56&quot;的位置画至北纬22 °17&#39;13.5&quot;、东经114 °09&#39;19&quot;的位置；,[''],"(a) on the west, by a straight line (a line with no curvature; a line with constant direction, the path of shortest length between two points) drawn from position latitude 22o 17 '43 ""north, longitude 114o 09' 56"" east to position latitude 22o 17 '13.5 ""north, longitude 114o 09' 19"" east;",(a) 西面，以一条直线（没有曲率的线；方向恒定的线，两点之间最短的路径）从北纬 22 ° 17&#39; 43&quot;、东经 114 ° 09&#39; 56&quot; 的位置画至北纬 22 ° 17&#39; 13.5&quot;、东经 114 ° 09&#39; 19&quot; 的位置；,['直线'],[''],
86,REDISTRIBUTION OF CELL CONTENTS BETWEEN DECLINING OLD AND GROWING YOUNG LEAVES IN SPRING ONION,spring onion,"['大葱', '葱']",葱叶衰老和新叶生长间细胞内容物的重新分布,['新叶'],REDISTRIBUTION OF CELL CONTENTS BETWEEN DECLINING OLD AND GROWING YOUNG LEAVES IN SPRING ONION (any of several similar types of onion),葱（几种类似的洋葱）中衰老老叶和正在生长的新叶之间细胞内容物的重新分布,['生长'],['新叶'],
87,"""the banker paying the cheque, in good faith and without negligence, shall not be responsible or incur any liability, nor shall the payment be questioned by reason of the cheque having been crossed,""",good faith,"['诚实', '诚意', '善意']",”,[''],"""the banker paying the cheque, in good faith (good, honest intentions, even if producing unfortunate results) and without negligence, shall not be responsible or incur any liability, nor shall the payment be questioned by reason of the cheque having been crossed,""",&quot;支付支票的银行家本着善意（良好、诚实的意图，即使产生不幸的结果）且无疏忽，不应承担任何责任或承担任何责任，也不得因支票被划线而对付款产生疑问， ”,['善意'],[''],
88,"Article 69 A local decree enacted by the People's Congress of a province, autonomous region, or municipality directly under the central government shall be promulgated by the presidium of the current session by way of a public announcement.",central government,['中央政府'],第六十九条 省、自治区、直辖市的人民代表大会制定的地方性法规，由会议主席团发布公告予以公布。,[''],"Article 69 A local decree enacted by the People's Congress of a province, autonomous region, or municipality directly under the central government (the highest level of government in a unitary state) shall be promulgated by the presidium of the current session by way of a public announcement.",第六十九条 省、自治区、直辖市(单一制国家的最高政府)的人民代表大会制定的地方性法规，由本级会议主席团发布公告予以公布。,['本级'],[''],
89,(g) a respondent in an appeal by way of case stated by the Attorney General under section 105 of the Magistrates Ordinance (Cap 227) may be granted legal aid under these rules for the appeal and in any proceedings preliminary or incidental thereto; (L.N. 65 of 1976),legal aid,"['司法援助', '法律援助']",(f) 凡律政司根据《裁判官条例》(第227章)第105条提出上诉，而答辩人在该上诉中及在该上诉的初步程序或附带程序中，均可根据本规则获得法律援助; (1976年第65号法律公告),['法律援助'],"(g) a respondent in an appeal by way of case stated by the Attorney General under section 105 of the Magistrates Ordinance (Cap 227) may be granted legal aid (free or low-cost service in the field of law, for the indigent) under these rules for the appeal and in any proceedings preliminary or incidental thereto; (L.N. 65 of 1976)",(f) 任何根据本规则获授权代表任何人提出上诉，而该等上诉是在该等上诉的聆讯中作出的; (1976年第65号法律公告),[''],['法律援助'],
